10248	2014-07-04	85	5	2014-12-31
10249	2014-07-05	79	6	2014-12-31
10250	2014-07-08	34	4	2014-12-31
10251	2014-07-08	84	3	2014-12-31
10252	2014-07-09	76	4	2014-12-31
10253	2014-07-10	34	3	2014-12-31
10254	2014-07-11	14	5	2014-12-31
10255	2014-07-12	68	9	2014-12-31
10256	2014-07-15	88	3	2014-12-31
10257	2014-07-16	35	4	2014-12-31
10258	2014-07-17	20	1	2014-12-31
10259	2014-07-18	13	4	2014-12-31
10260	2014-07-19	56	4	2014-12-31
10261	2014-07-19	61	4	2014-12-31
10262	2014-07-22	65	8	2014-12-31
10263	2014-07-23	20	9	2014-12-31
10264	2014-07-24	24	6	2014-12-31
10265	2014-07-25	7	2	2014-12-31
10266	2014-07-26	87	3	2014-12-31
10267	2014-07-29	25	4	2014-12-31
10268	2014-07-30	33	8	2014-12-31
10269	2014-07-31	89	5	2014-12-31
10270	2014-08-01	87	1	2014-12-31
10271	2014-08-01	75	6	2014-12-31
10272	2014-08-02	65	6	2014-12-31
10273	2014-08-05	63	3	2014-12-31
10274	2014-08-06	85	6	2014-12-31
10275	2014-08-07	49	1	2014-12-31
10276	2014-08-08	80	8	2014-12-31
10277	2014-08-09	52	2	2014-12-31
10278	2014-08-12	5	8	2014-12-31
10279	2014-08-13	44	8	2014-12-31
10280	2014-08-14	5	2	2014-12-31
10281	2014-08-14	69	4	2014-12-31
10282	2014-08-15	69	4	2014-12-31
10283	2014-08-16	46	3	2014-12-31
10284	2014-08-19	44	4	2014-12-31
10285	2014-08-20	63	1	2014-12-31
10286	2014-08-21	63	8	2014-12-31
10287	2014-08-22	67	8	2014-12-31
10288	2014-08-23	66	4	2014-12-31
10289	2014-08-26	11	7	2014-12-31
10290	2014-08-27	15	8	2014-12-31
10291	2014-08-27	61	6	2014-12-31
10292	2014-08-28	81	1	2014-12-31
10293	2014-08-29	80	1	2014-12-31
10294	2014-08-30	65	4	2014-12-31
10295	2014-09-02	85	2	2014-12-31
10296	2014-09-03	46	6	2014-12-31
10297	2014-09-04	7	5	2014-12-31
10298	2014-09-05	37	6	2014-12-31
10299	2014-09-06	67	4	2014-12-31
10300	2014-09-09	49	2	2014-12-31
10301	2014-09-09	86	8	2014-12-31
